Count,Field name - highlighted terms defined,Definitions for Assessment
1,CERTIFICATE_NUMBER,The unique reference number for the EPC. This number is generated when the certificate is lodged and can be used to retrieve the record from the EPB data API and the EPC register.
2,ADDRESS1,"The first line of the property’s address, usually the building number and/or name and street name."
3,ADDRESS2,"The second line of the property's address, usually the village town or city."
4,ADDRESS3,"The third line of the property's address, usually the county; not always used."
5,POSTCODE,The postcode of the property. Each postcode consists of five to seven alphanumeric characters which was created by Royal Mail. A full postcode designates an area with multiple addresses or a single delivery point.
6,CURRENT_ENERGY_RATING,"How energy efficient the property was at the time of the assessment based on its structure, heating and lighting. Rated from A to G, where A is best."
7,POTENTIAL_ENERGY_RATING,"How energy efficient the property could be after making recommended improvements. Rated from A to G, where A is best."
8,CURRENT_ENERGY_EFFICIENCY,"The estimated current annual energy cost for heating, hot water and lighting. Measured in pounds per square metre per year (£/m²/year)."
9,POTENTIAL_ENERGY_EFFICIENCY,"The estimated annual energy cost for heating, hot water and lighting if recommended improvements are made. Measured in pounds per square metre per year (£/m²/year)."
10,PROPERTY_TYPE,"Describes the kind of property such as house, flat or maisonette. "
11,BUILT_FORM,"Describes how the property is joined to other buildings such as detached, semi-detached, terraced, or part of a block."
12,INSPECTION_DATE,The date when information about the building was collected to prepare the EPC.
13,LOCAL_AUTHORITY,The local authority the building is in. Uses the official ONS (Office for National Statistics) code for that local area.
14,CONSTITUENCY,The UK parliamentary constituency the building is in. Uses the official ONS (Office for National Statistics) code for that area.
15,LODGEMENT_DATE,The date the energy certificate was added to the Energy Performance of Buildings Register. This is called 'Lodgement'.
16,TRANSACTION_TYPE,"States why the energy certificate was produced. This could be for a sale, rental, new build, Green Deal, ECO assessment, or another reason. If the assessor does not know the reason, it’s recorded as ‘none of the above’."
17,ENVIRONMENT_IMPACT_CURRENT,"An estimate of current carbon dioxide (CO?) emissions related to heating, lighting and hot water use. Rated on a scale of 1-92+. The higher the rating, the lower the emissions. The ratings are grouped into bands A-G  where A is best and G is worst."
18,ENVIRONMENT_IMPACT_POTENTIAL,"An estimate of carbon dioxide (CO?) emissions related to heating, lighting and hot water use, if recommended improvements are made. Rated on a scale of 1-92+. The higher the rating, the lower the emissions. The ratings are grouped into bands A-G  where A is best and G is worst."
19,ENERGY_CONSUMPTION_CURRENT,"An estimate of the energy currently used to heat, light, and provide hot water over a year. 

Measured in kilowatt hours per square metre per year (kWh/m²/year)."
20,ENERGY_CONSUMPTION_POTENTIAL,"An estimate of energy the property would use each year if recommended improvements are made. 

Measured in kilowatt hours per square metre per year (kWh/m²/year)."
21,CO2_EMISSIONS_CURRENT,"An estimate of current carbon dioxide (CO?) emissions each year based on the building’s energy use.

Measured in tonnes/yr."
22,CO2_EMISS_CURR_PER_FLOOR_AREA,"An estimate of current cardon dioxide (CO?) emissions from energy use per square metre of floor area per year. Based on the building’s energy use 

Measured in kilograms per square metre per year (kg/m²/year)."
23,CO2_EMISSIONS_POTENTIAL,"An estimate of the total carbon dioxide (CO?) emissions per year if recommended improvements are made.  Based on the building’s energy use

Measured in tonnes/yr"
24,LIGHTING_COST_CURRENT,"An estimate of the current cost of electricity used for lighting each year. 

Measured in pounds per year (£/yr)."
25,LIGHTING_COST_POTENTIAL,"An estimate of the cost of electricity used for lighting each year, if recommended improvements are made. 

Measured in pounds per year (£/yr)."
26,HEATING_COST_CURRENT,An estimate of current energy costs for heating each year.  Measured in pounds per year (£/yr).
27,HEATING_COST_POTENTIAL,"An estimate of energy costs for heating each year, if recommended improvements are made. 

Measured in pounds per year (GBP)."
28,HOT_WATER_COST_CURRENT,"An estimate of current cost of hot water each year. 

Measured in pounds per year (£/yr)."
29,HOT_WATER_COST_POTENTIAL,"An estimate of the cost of hot water each year, if recommended improvements are made.  

Measured in pounds per year (£/yr)."
30,TOTAL_FLOOR_AREA,"The total enclosed floor area of the property, measured to the internal face of the external walls. The measurement follows recognised professional standards (issued by the Royal Institution of Chartered Surveyors or any successor organisation). Given in square metres (m²)."
31,ENERGY_TARIFF,"The electricity tariff used in the property. Common types include single-rate, dual-rate and time-of-use tariffs. It does not refer to tariffs for gas or other fuels. The tariff type is based on information provided or observed during the assessment."
32,MAINS_GAS_FLAG,"Yes/No field recorded by the assessor to show whether mains gas is actively used in the property. “Yes” is selected if a gas meter is present and supplying at least one gas-burning appliance (such as a boiler, cooker or fire). A capped, disconnected, or unused gas supply (even if a meter is present) is a ""No""."
33,FLOOR_LEVEL,"Applies to flats and maisonettes only. Shows which floor the flat or maisonette is on, using numbers that start from the lowest level of the building. If there is no basement, the ground floor is level 0. If there is a basement, the basement is level 0 and the ground floor is level 1. Floors above are numbered from 2 upwards."
34,FLAT_TOP_STOREY,Whether the flat is on the top floor of a building. 
35,FLAT_STOREY_COUNT,"The total number of floors in the apartment block, including the ground floor and any basement levels."
36,MAIN_HEATING_CONTROLS,"The type of heating controls used for the main heating system(s). If there are two main systems, both are included.  "
37,MULTI_GLAZE_PROPORTION,"An estimate of the proportion of the property's total window area that is double or triple-glazed. The assessor places the property into one of twelve bands, based on how much of the glazing is multiple glazed. For example, 10%–20%."
38,GLAZED_TYPE,"The type of glazing used in the property’s windows. Either single, double or triple glazing. It can be based on the assessor's observation or from evidence of glazing performance from the British Fenestration Rating Council or the window manufacturer (if available)."
39,GLAZED_AREA,"An estimate of glazing compared to glazing in a typical building of a similar type. The assessor selects a band — Typical, More than Typical, Less than typical, Much more than Typical, Much Less than typical."
40,EXTENSION_COUNT,"Number of extensions that have been added to the property, as observed during the energy assessment. Maximum of 4. Each extension is entered separately in the EPC calculation, as its walls, roof, and floor may have different levels of insulation or construction. Part of a building may count as extension if the construction differs from the main part of the building."
